Question,Category,Difficulty Fariha,Difficulty Arean,A,B,C,D,Answer
বঙ্গবন্ধু শেখ মুজিবুর রহমানকে কবে 'জাতির জনক' ঘোষণা করা হয় ?,History,2,1,"১০ জানুয়ারী, 1972","১৬ ডিসেম্বর, 1971","২৬ মার্চ,1971","৩ মার্চ, 1971",D
"১৯৪৮-৫২ এর ভাষা আন্দোলনের সময়কালে প্রতি বছর 'ভাষা দিবস' বলে একটি দিন পালন করা হত, দিনটি ছিল কি?",History,3,2,৩০ জানুয়ারি,২৬ ফেব্রুয়ারী,১১ মার্চ,২১ এপ্রিল,C
'ছিয়াত্তরের মন্বন্তর' নামক ভয়াবহ দুর্ভিক্ষ কত সালে ঘটে ?,History,1,3,বাংলা ১০৭৬ সালে,বাংলা ১১৭৬ সালে,বাংলা ১৩৭৬ সালে,ইংরেজী ১৮৭৬ সালে,B
যুক্তফ্রন্টে(১৯৫৪) রাজনৈতিক দলের সংখ্যা কত ছিল?,History,2,1,চার,পাঁচ,তিন,ছয়,B
১৯৫২ সালে পূর্ববাংলার মুখ্যমন্ত্রী কে ছিলেন?,History,1,2,খাজা নাজিমুদ্দিন,নুরুল আমিন,আতাউর রহমান খান,আবু হোসেন সরকার,B
মোঘল আমলে ঢাকার নাম কি ছিল ?,History,1,1,ইসলামাবাদ,পুন্ড্রনগর,জাহাঙ্গীরনগর,সোনারগাঁও,B
কোন গোষ্ঠি থেকে বাঙালি জাতির প্রধান অংশ গড়ে উঠেছে?,History,3,1,নেগ্রিটো,ভোটচীন,দ্রাবিড়,অস্ট্রিক,D
১৯৫৪ সালে পূর্ব পাকিস্থান প্রাদেশিক নির্বাচনে যুক্তফ্রন্টভুক্ত রাজনৈতিক দল নয় কোনটি?,History,3,2,আওয়ামী লীগ,কৃষক প্রজা পার্টি,নেজামে ইসলাম,ন্যাশনাল আওয়ামী পার্টি,D
৭ই মার্চ রেসকোর্স ময়দানে বঙ্গবন্ধু সেখ মুজিবুর রহমানের বিখ্যাত ভাষণের মূল বক্তব্য কি?,History,1,1,সামরিক আইন জারি করা,স্বাধীনতা সংগ্রাম তথা মুক্তি সংগ্রামের ঘোষণা,অনশন ধর্মঘট আহবান,পুনরায় নির্বাচন দাবি,B
প্রাচীনকালে এদেশের নাম ছিল-,History,2,1,বাংলাদেশ,বঙ্গ,বাংলা,বাঙ্গালা,B
