Question,Category,Difficulty Fariha,Difficulty Arean,A,B,C,D,Answer
সিরাজউদ্দৌলাকে কে হত্যা করে?,History,1,1,মীরন,মীর জাফর,মোহাম্মদী বেগ,লর্ড ক্লাইভ,C
বাবর উপমহাদেশে মুঘল সাম্রাজ্যের প্রতিষ্ঠা করেন -,History,1,1,১৫১৬ সালে,১৫২২ সালে,১৫২৬ সালে,১৫২৮ সালে,C
ফরাসিরা চন্দননগর নামক স্থানটি কিনে নেয় কেন?,History,1,1,স্থানটি সুন্দর বলে,সাম্রাজ্য বিস্তারের জন্য,বাণিজ্যিক কার্যক্রম সম্প্রসারিত করাতে,ধর্মীয় কারণে উদ্বুদ্ধ হয়ে,C
কোন পর্তুগিজ নাবিক প্রথম সমুদ্রপথে ভারতীয় উপমহাদেশে আসেন?,History,1,1,ভাস্কো-ডা-গামা,ক্যাপ্টেন হকিন্স,স্যার টমাস রো,জব চার্নক,A
স্বাধীনতা যুদ্ধে অবদানের জন্য 'বীরপ্রতীক' উপাধি লাভ করে কতজন?,History,1,1,৭ জন,৬৮ জন,১৭৫ জন,৪২৬ জন,D
'ছয়-দফা' দফা কোন তারিখে আনুষ্ঠুপক্াবে খোষণা করা হয়েছিল?,History,1,1,২১ ফেব্রুয়ারি ১৯৫৪,২২ মার্চ ১৯৫৮,২০ এপ্রিল ১৯৬২,২৩ মার্চ ১৯৬৬,B
মুজিবনগর সরকারের প্রধানমন্ত্রীর নাম কী?,History,1,1,এ. কে খোন্দকার,সৈয়দ নজরুল ইসলাম,তাজউদ্দিন আহমদ,মনসুর আলী,C
‘ইতিহাস’ শব্দটির সন্ধি বিচ্ছেদ কোনটি?,History,1,1,ইতি + হাস,ইতিহ + আস,ইতিহ + হাস,ইতি + আস,B
ঢাকার কোন স্থানের জনসভায় শেখ মুজিবুর রহমানকে ‘বঙ্গবন্ধু’ উপাধিতে ভূষিত করা হয়?,History,1,1,রেসকোর্স ময়দানে,ঢাকা বিশ্ববিদ্যালয়ে,ভিক্টোরিয়া পার্কে,লালবাগ কেল্লায়,A
"১৯৫২ সালের ২১ ফেব্রুয়ারি তারিখে বুকের রক্ত দিয়ে মাতৃভাষার মান রক্ষা করেন শহীদ জব্বার, রফিক, বরকত, সালাম; ঐ দিনটি ছিল ফাল্গুন মাসের?",History,1,1,৬ তারিখ,৮ তারিখ,১০ তারিখ,১২ তারিখ,B
কোন সালে পাকিস্তানে প্রথম সামরিক শাসন জারি হয়?,History,1,1,১৯৫৪,১৯৫৬,১৯৫৮,১৯৬২,C
বঙ্গবন্ধু লন্ডন থেকে কোথায় আসেন?,History,1,1,দিল্লি,ঢাকা,কলকাতা,করাচি,A
বাংলাদেশ ১৯৭১ সালের কত তারিখে স্বাধীনতা অর্জন করে?,History,1,1,২১ ফেব্রুয়ারি,১৫ ডিসেম্বর,১৬ ডিসেম্বর,২৬ মার্চ,D
আওয়ামী মুসলিম লীগের জন্ম হয় কখন?,History,1,1,১৯৪৮ সালের ৪ জানুয়ারি,১৯৪৯ সালের ২৩ জুন,১৯৫২ সালের ২৬ ফেব্রুয়ারি,১৯৫২ সালের ২৮ ফেব্রুয়ারি,B
দ্বিতীয় বিশ্বযুদ্ধের সূত্রপাত কে ঘটিয়েছিল?,History,1,1,জার্মানি,ফ্রান্স,রাশিয়া,ব্রিটেন,A
স্বদেশী আন্দোলন পরিচালিত হয়েছিল কাদের বিরুদ্ধে?,History,1,1,মুসলিম লীগের বিরুদ্ধে,কংগ্রেসের বিরুদ্ধে,ব্রিটিশ সরকারের বিরুদ্ধে,মুসলিম লীগ ও ব্রিটিশের বিরুদ্ধে,C
বাংলাদেশের ইতিহাসে যে ঘটনাটি আগে ঘটেছিল -,History,1,1,যুক্তফ্রন্ট গঠন,ভাষা আন্দোলন,আগরতলা ষড়যন্ত্র মামলা,আওয়ামী মুসলিম লীগের প্রতিষ্ঠা,D
স্বৈরাচারী শাসনের পতন ঘটে কত সালে?,History,1,1,১৯৭৫ সালে,১৯৭৯ সালে,১৯৮২ সালে,১৯৯০ সালে,D
ইংরেজদের ঘোষিত 'বঙ্গভঙ্গ একটি প্রতিষ্ঠিত ঘটনা'-এর ভঙ্গ হয় কার মাধ্যমে?,History,1,1,লর্ড কার্জন,ওয়ারেন হেস্টিংস,লর্ড হার্ডিঞ্জ,পঞ্চম জর্জ,D
ঢাকায় গণহত্যা শুরু হয় কী নামে?   ,History,1,1,অপারেশন সার্চলাইট,অপারেশন রেবল হান্ট,অপারেশন ক্লিনহার্ট,অপারেশন ডেজার্ট স্ট্রম,A
